"","RMSE","MAE","MAPE"
"Training",1.33,1.037,9.975
"CV step = 1",1.336,1.059,9.857
"CV step = 6",1.381,1.082,10.088
"CV step = 12 (1 year forecast)",1.385,1.086,10.105
"CV step = 12 (2 year forecast)",1.418,1.11,10.346
"CV step = 12 (3 year forecast)",1.439,1.127,10.515
